Latitud,Longitud,Fecha,Hora,FP_T21,FP_T31,FP_POWER,FP_CONFIDENCE,SCAN,TRACK
-4.04821,-46.51664,2023-08-13,04:29,310.76,292.54,32.45,81,2.29,1.46
-4.56618,-43.10184,2023-08-13,04:29,312.4,284.84,16.62,85,1.26,1.12
-4.04681,-46.52166,2023-08-13,04:29,307.23,292.4,24.23,71,2.29,1.46
-4.05002,-46.50169,2023-08-13,04:29,303.27,292.43,16.21,54,2.28,1.46
-4.87261,-43.24202,2023-08-13,04:29,302.77,290.6,6.16,44,1.27,1.12
-4.18455,-48.12005,2023-08-13,04:29,302.39,292.13,24.88,49,3.05,1.66
-5.01955,-43.81165,2023-08-13,04:29,302.92,290.26,8.12,52,1.38,1.16
-4.82006,-45.21373,2023-08-13,04:29,308.76,292.64,19.13,75,1.75,1.3
-6.52137,-42.41894,2023-08-13,04:29,305.67,292.27,7.27,65,1.1,1.05
-6.17555,-43.96316,2023-08-13,04:29,308.53,290.01,14.54,75,1.36,1.15
-7.9462,-44.87181,2023-08-13,04:29,317.01,292.95,26.1,94,1.47,1.2
-6.52286,-42.4091,2023-08-13,04:29,307.94,291.82,8.95,73,1.1,1.05
-4.46857,-47.67533,2023-08-13,04:29,307.85,292.55,34.8,73,2.78,1.59
-2.62213,-48.0778,2023-08-13,04:29,307.01,290.86,39.16,70,3.23,1.7
-4.54459,-43.11006,2023-08-13,04:29,300.69,284.29,5.88,11,1.26,1.12
-4.55624,-43.10035,2023-08-13,04:29,301.11,284.3,6.56,20,1.26,1.12
-4.54629,-43.09885,2023-08-13,04:29,320.54,287.7,26.78,100,1.26,1.12
-13.0278,-45.31652,2023-08-13,04:32,309.71,288.04,16.17,78,1.31,1.14
-15.62033,-48.25483,2023-08-13,04:32,305.32,289.93,20.76,64,1.9,1.35
-15.62865,-48.25001,2023-08-13,04:32,301.11,288.64,14.89,38,1.9,1.35
-14.61961,-47.19434,2023-08-13,04:32,312.1,289.59,25.28,84,1.65,1.26
-14.6202,-47.18871,2023-08-13,04:32,304.45,288.55,14.77,60,1.65,1.26
-14.61768,-47.20395,2023-08-13,04:32,306.18,288.81,16.82,67,1.66,1.27
-15.42981,-40.26076,2023-08-13,04:32,341.84,290.85,56.8,100,1.13,1.06
-15.42839,-40.27107,2023-08-13,04:32,328.07,289.43,32.76,100,1.12,1.06
-13.16789,-46.97866,2023-08-13,04:32,318.33,292.86,35.73,97,1.69,1.28
-11.7737,-46.35294,2023-08-13,04:32,306.13,291.56,13.28,16,1.62,1.25
-13.01767,-45.31485,2023-08-13,04:32,314.61,289.77,20.89,90,1.31,1.14
-13.01962,-45.30292,2023-08-13,04:32,306.97,288.44,12.63,52,1.31,1.14
-13.02586,-45.32848,2023-08-13,04:32,305.91,288.04,12.32,66,1.31,1.14
-13.16942,-46.97324,2023-08-13,04:32,318.0,292.5,35.64,96,1.69,1.28
-8.49235,-46.06592,2023-08-13,04:32,301.8,289.9,11.99,44,1.76,1.3
-8.50391,-46.06787,2023-08-13,04:32,303.34,289.76,13.95,55,1.76,1.3
-8.82703,-45.4983,2023-08-13,04:32,303.89,291.1,12.76,57,1.57,1.24
-8.83804,-45.50006,2023-08-13,04:32,328.97,291.99,55.7,100,1.57,1.24
-8.84031,-45.48602,2023-08-13,04:32,304.94,289.72,13.53,62,1.57,1.23
-10.85516,-44.81499,2023-08-13,04:32,302.3,291.77,6.1,48,1.31,1.14
-10.85702,-44.8031,2023-08-13,04:32,318.13,292.06,23.25,96,1.31,1.14
-10.85395,-44.80947,2023-08-13,04:32,314.75,291.76,19.24,90,1.31,1.14
-10.85588,-44.79766,2023-08-13,04:32,305.58,291.96,9.57,65,1.31,1.14
-23.28603,-45.57613,2023-08-13,04:34,304.31,282.31,8.89,59,1.04,1.02
-20.24128,-40.24472,2023-08-13,04:34,307.16,285.28,12.43,52,1.27,1.12
-21.54019,-41.21953,2023-08-13,04:34,305.47,288.8,8.98,64,1.17,1.08
-20.71725,-42.9374,2023-08-13,04:34,305.61,279.28,9.01,65,1.01,1.01
-21.53052,-41.21811,2023-08-13,04:34,300.24,288.93,5.15,19,1.17,1.08
